공항코드(IATA),영문공항명,한글공항명,지역,영문국가명,한글국가명,영문도시명
ALM,Alamogordo-White Sands Regional Airport,앨라모고도 화이트 샌즈 지역공항,북미,United States of America,미국,Alamogordo
ALS,San Luis Valley Regional Airport,샌 루이스 밸리 지역공항,북미,United States of America,미국,Alamosa
ABC,Albacete Airport,알바세테 공항,유럽,Spain,스페인,Albacete
ABT,Al-Baha Al-Aqiq Airport,알 아키크 공항,중동,Saudi Arabia,사우디아라비아,Al-Baha
ABY,Southwest Georgia Regional Airport,사우스웨스트 조지아 공항,북미,United States of America,미국,Albany
ALB,Albany International Airport,올버니 국제공항,북미,United States of America,미국,Albany
ALH,Albany Airport,올버니 공항,대양주,Australia,오스트레일리아,Albany
BYF,Albert Picardie Airport,앨버트 브라이 공항,유럽,France,프랑스,Albert
ABQ,Albuquerque International Sunport Airport,앨버커키 국제선포트,북미,United States of America,미국,Albuquerque
ABX,Albury Airport,엘버리 공항,대양주,Australia,오스트레일리아,Albury
ADH,Aldan Airport,알단 공항,유럽,Russian Federation,러시아,Aldan
ACI,Alderney Airport,더 블라예 공항,유럽,Guernsey,건지,Alderney
ALQ,Alegrete Gaudencio Machado Ramos Airport,페데랄 공항,중남미,Brazil,브라질,Alegrete
WKK,Aleknagik Airport,알레크나기크 공항,북미,United States of America,미국,Aleknagik
ALP,Aleppo Nejrab Airport,네즈랍 공항,중동,Syria,시리아,Aleppo
ALR,Alexandra Airport,알렉산드라 비행장,대양주,New Zealand,뉴질랜드,Alexandra
AEX,Alexandria International Airport (USA),알렉산드리아 국제공항,북미,United States of America,미국,Alexandria
ALY,Alexandria El Nouzha Airport,엘 노흐자 공항,아프리카,Egypt,이집트,Alexandria
HBE,Alexandria Borg el Arab Airport,보르헤 헬 아랍 공항,아프리카,Egypt,이집트,Alexandria
AXD,Alexandroupolis Dimokritos Airport,데모크리토스 공항,유럽,Greece,그리스,Alexandroupolis
FJR,Fujairah International Airport,알푸자이라 국제공항,중동,United Arab Emirates,UAE,Al-Fujairah
AEI,Algeciras Heliport,알헤시라스 헬리포트,유럽,Spain,스페인,Algeciras
AHO,Alghero Fertilia Airport,퍼틸랴 공항,유럽,Italy,이탈리아,Alghero
ALG,Algiers Houari Boumediene Airport,훼리 부미딘 공항,아프리카,Algeria,알제리,Algiers
ALC,Alicante Elche Miguel Hernandez Airport,알리칸테 공항,유럽,Spain,스페인,Alicante
ALI,Alice International Airport,앨리스 국제공항,북미,United States of America,미국,Alice
ASP,Alice Springs Airport,앨리스 스프링스 공항,대양주,Australia,오스트레일리아,Alice Springs
AJF,Al Jouf Airport,알 주프 국내공항,중동,Saudi Arabia,사우디아라비아,al-Jouf ( al-Jawf  )
IXD,Allahabad Bamrauli Airport,밤라울리 공항,아시아,India,인도,Allahabad
AET,Allakaket Airport,알라카케트 공항,북미,United States of America,미국,Allakaket
AIA,Alliance Municipal Airport,알리앙스 시공항,북미,United States of America,미국,Alliance
YTF,Alma Airport,알마 공항,북미,Canada,캐나다,Alma
ALA,Almaty International Airport,알마티 공항,아시아,Kazakhstan,카자흐스탄,Almaty
LEI,Almeria Airport,알메리아 국제공항,유럽,Spain,스페인,Almeria
IUE,Niue Island Hanan Airport,니우에 하난 국제공항,대양주,Niue,니우에,"Alofi, Niue Island"
IXV,Along Airport,알롱 공항,아시아,India,인도,Along
ARD,Alor Island Airport,알로르 섬 공항,아시아,Indonesia,인도네시아,Alor Island
AOR,Alor Setar Airport,술탄 압둘 하림 공항,아시아,Malaysia,말레이시아,Alor Setar
GUR,Alotau Gurney Airport,건지 공항,대양주,Papua New Guinea,파푸아뉴기니,Alotau
APN,Alpena County Regional Airport,앨피너 카운티 지역공항,북미,United States of America,미국,Alpena
ALE,Alpine-Casparis Municipal Airport,알파인카스파리스 공항,북미,United States of America,미국,Alpine
ALF,Alta Airport,알타 공항,유럽,Norway,노르웨이,Alta
AFL,Alta Floresta Airport,알타플로레스타 공항,중남미,Brazil,브라질,Alta Floresta
LTI,Altai Airport,알타이 공항,아시아,Mongolia,몽고,Altai
ATM,Altamira Airport,알타미라 공항,중남미,Brazil,브라질,Altamira
AAT,Altay Airport,알타이 공항,아시아,China,중국,Altay
AOC,Altenburg Nobitz Airport,노비츠 공항,유럽,Germany,독일,Altenburg
ACH,St Gallen-Altenrhein Airport,세인트 갈런 알테르하임 공항,유럽,Switzerland,스위스,Altenrhein
ARR,Alto Rio Senguer Airport,알토리오센구어 공항,중남미,Argentina,아르헨티나,Alto Rio Senguerr
AOO,Altoona-Blair County Airport,알투나 블래어 카운티 공항,북미,United States of America,미국,Altoona
ULH,Al Ula Prince Abdul Majeed bin Abdulaziz Airport,프린스 압둘 마지드 빈 압둘 아지즈 국내 공항,중동,Saudi Arabia,사우디아라비아,Al-Ula
AXJ,Amakusa Airfield,아마쿠사 공항,아시아,Japan,일본,Amakusa
ASJ,Amami Oshima Airport,아마미 공항,아시아,Japan,일본,Amami Oshima
AMA,Rick Husband Amarillo International Airport,릭 허즈밴드 애머릴로 국제공항,북미,United States of America,미국,Amarillo
MZH,Amasya Merzifon Airport,아마시야 메르지폰 공항,유럽,Turkey,터키,Amasya
AMY,Ambatomainty Airport,암바토메인티 공항,아프리카,Madagascar,마다가스카르,Ambatomainty
WAM,Ambatondrazaka Airport,암바튼드라제이카 공항,아프리카,Madagascar,마다가스카르,Ambatondrazaka
ABL,Ambler Airport,엠블러 공항,북미,United States of America,미국,Ambler
AMQ,Ambon Pattimura Airport,파티무라 공항,아시아,Indonesia,인도네시아,Ambon
ASV,Amboseli Airport,암보셀리 공항,아프리카,Kenya,케냐,Amboseli
AMV,Amderma Airport,암더마 공항,유럽,Russian Federation,러시아,Amderma
AEM,Amgu Airport,암구 공항,유럽,Russian Federation,러시아,Amgu
ADJ,Amman Civil Airport,암만 시빌 마르카 공항,중동,Jordan,요르단,Amman
AMM,Amman Queen Alia International Airport,퀸 알리아 국제공항,중동,Jordan,요르단,Amman
AGM,Tasiilaq Airport,앙막쌀릭 공항,유럽,Greenland,그린란드,Ammassalik
AOS,Amook Airport,아묵 공항,북미,United States of America,미국,Amook Bay
AFK,Ampara Kondavattavan Tank Airport,암파라 콘다바타반 탱크 공항,아시아,Sri Lanka,스리랑카,Ampara
ATQ,Amritsar Sri Guru Ram Dass Jee Airport,라자 산시 공항,아시아,India,인도,Amritsar
AMS,Amsterdam Schiphol Airport,스키폴 공항,유럽,Netherlands,네덜란드,Amsterdam
AAA,Anaa Airport,아나 공항,대양주,French Polynesia,프랑스령폴리네시아,Anaa
AAO,Wichita Colonel James Jabara Airport,아나코 공항,북미,United States of America,미국,Anaco
DYR,Anadyr Airport,우골리 공항,유럽,Russian Federation,러시아,Anadyr
ANA,Maasai Mara Angama Airport,마사이 마라 앙가마 공항,아프리카,Kenya,케냐,"Anaheim, CA"
YAA,Anahim Lake Airport,아나힘 레이크 공항,북미,Canada,캐나다,Anahim Lake
AKP,Anaktuvuk Airport,아나트쿠부크 패스 공항,북미,United States of America,미국,Anaktuvuk Pass
AAQ,Anapa Vityazevo Airport,비타야제프 공항,유럽,Russian Federation,러시아,Anapa
AUY,Aneityum Airport,애이티움 공항,대양주,Vanuatu,바누아투,Anatom Island
ANC,Ted Stevens Anchorage International Airport,테드 스티븐스 국제공항 ,북미,United States of America,미국,Anchorage
AOI,Ancona Marche Airport,팔코나라 공항,유럽,Italy,이탈리아,Ancona
ANS,Andahuaylas Airport,안다훼이라스 공항,중남미,Peru,페루,Andahuaylas
ADO,Andamooka Airport,안다모카 공항,대양주,Australia,오스트레일리아,Andamooka
ANX,Andenes Airport,안도야 공항,유럽,Norway,노르웨이,Andenes
AZN,Andizhan Airport,안디잔 공항,아시아,Uzbekistan,우즈베키스탄,Andizhan
SAQ,San Andros Airport,산안드로스 공항,중남미,Bahamas,바하마,Andros Island
NGD,Anegada Airport,아네가다 공항,중남미,British Virgin Islands,영국령 버진아일랜드,Anegada
ANE,Angers Loire Airport,마르세 공항 ,유럽,France,프랑스,Angers
VLY,Anglesey Airport,밸리 공군기지,유럽,United Kingdom,영국,Anglesey
YAX,Angling Lake Airport,앵글로 레이크 공항,북미,Canada,캐나다,Angling Lake
AGN,Angoon Airport,앵군 수상비행장,북미,United States of America,미국,Angoon
ANG,Angouleme Brie Champniers Airport,브리에 샹프니에 공항,유럽,France,프랑스,Angouleme
ANI,Aniak Airport,애니악 공항,북미,United States of America,미국,Aniak
AWD,Aniwa Airport,아니와 공항,대양주,Vanuatu,바누아투,Aniwa
AJN,Anjouan Ouani Airport,쿠아니 공항,아프리카,Comoros,코모로,Anjouan
AKA,Ankang Fuqiang Airport,안강 울리푸 공항,아시아,China,중국,Ankang
ANK,Ankara Etimesgut AFB Airport,앙카라 타임스구트 AFB 공항,유럽,Turkey,터키,Ankara
ESB,Ankara Esenboga Airport,에센보가 공항,유럽,Turkey,터키,Ankara
JVA,Ankavandra Airport,안카반드라 공항,아프리카,Madagascar,마다가스카르,Ankavandra
AAE,Annaba Rabah Bitat Airport,레 살린 공항  ,아프리카,Algeria,알제리,Annaba
NCY,Annecy-Meythet Airport,안시 메이스 공항,유럽,France,프랑스,Annecy
AQG,Anqing Tianzhushan Airport,안칭 공항,아시아,China,중국,Anqing
AOG,Anshan Teng'ao Airport,안산 공항,아시아,China,중국,Anshan
AVA,Anshun Huangguoshu Airport,후앙 구오 수 공항,아시아,China,중국,Anshun
ATA,Anta Airport,안타공항,중남미,Peru,페루,Anta / Huaraz
HTY,Hatay Airport,하타이 공항,유럽,Turkey,터키,Antakya
ANM,Antalaha Antsirabato,안치라바토 공항,아프리카,Madagascar,마다가스카르,Antalaha
AYT,Antalya Airport,안탈리아 공항,유럽,Turkey,터키,Antalya
TNR,Antananarivo Ivato International Airport,아바토 국제공항,아프리카,Madagascar,마다가스카르,Antananarivo
ANF,Antofagasta Cerro Moreno Airport,세로 모레노 공항,중남미,Chile,칠레,Antofagasta
ATJ,Antsirabe Airport,안트시라베 공항,아프리카,Madagascar,마다가스카르,Antsirabe
DIE,Antsiranana Arrachart Airport,아라차트공항,아프리카,Madagascar,마다가스카르,Antsiranana
WAI,Antsohihy Ambalabe Airport,암발라브 공항,아프리카,Madagascar,마다가스카르,Antsohihy
ANR,Antwerp International Airport,앤트워프 국제공항 ,유럽,Belgium,벨기에,"Antwerp , Brussels"
ANV,Anvik Airport,앤빅 공항,북미,United States of America,미국,Anvik
AYN,Anyang Hongqiqu Airport,안양 공항,아시아,China,중국,Anyang
AOJ,Aomori Airport,아오모리 공항,아시아,Japan,일본,Aomori
AOT,Aosta Corrado Gex Airport,코래도 젝스 공항,유럽,Italy,이탈리아,Aosta
APO,Apartado Antonio Roldan Betancourt Airport,안토니오 롤란 베탄코트 공항,중남미,Colombia,콜롬비아,Apartado
APK,Apataki Airport,아파타키 공항,대양주,French Polynesia,프랑스령폴리네시아,Apataki
KVK,Kirovsk/Apatity Khibiny Airport,키로프스크-아파르 티 공항,유럽,Russian Federation,러시아,Apatity
APW,Apia Faleolo Airport,팔레오로 공항,대양주,Samoa,사모아,Apia
FGI,Apia Fagali'i Airport,파갈리이 공항,대양주,Samoa,사모아,Apia
APB,Apolo Airport,아폴로 공항,중남미,Bolivia,볼리비아,Apolo
AQJ,Aqaba King Hussein International Airport,킹 후세인 국제공항 ,중동,Jordan,요르단,Aqaba
AJU,Aracaju Airport,산타마리아 공항,중남미,Brazil,브라질,Aracaju
ARU,Aracatuba Airport,아라카츄바 공항,중남미,Brazil,브라질,Aracatuba
ARW,Arad Airport,아라드 국제공항,유럽,Romania,루마니아,Arad
AUX,Araguaina Airport,아라과이나 공항,중남미,Brazil,브라질,Araguaina
AJK,Araak Airport,아라크 공항,중동,Iran,이란,Arak
AAK,Aranuka Buariki Airport,아라누카 공항,대양주,Kiribati,키리바시,Aranuka
APX,Arapongas Alberto Bertelli Airport,아라퐁가스 알베르토 베르텔리 공항,중남미,Brazil,브라질,Arapongas
RAE,Arar Airport,아라 국내공항,중동,Saudi Arabia,사우디아라비아,Arar ( Ar'ar )
ACR,Araracuara Airport,아라라쿠아라 공항,중남미,Colombia,콜롬비아,Araracuara
AQA,Araraquara Bartolomeu de Gusmao Airport,아라라쿠아라 공항,중남미,Brazil,브라질,Araraquara
RKA,Aratika Airport,아라티카노르드 공항,대양주,French Polynesia,프랑스령폴리네시아,Aratika
AUC,Arauca Airport,산티아고 페레즈 공항,중남미,Colombia,콜롬비아,Arauca
AAX,Araxa Airport,아락사 공항,중남미,Brazil,브라질,Araxa
AMH,Arba Minch Airport,알바민치 공항,아프리카,Ethiopia,이디오피아,Arba Minch
ACV,Arcata-Eureka Airport,알카타 유레카 공항,북미,United States of America,미국,Arcata
ACF,Alar Talimu Airport,아체필드 공항,아시아,China,중국,Archerfield
YAB,Arctic Bay Airport,아크틱 베이 공항,북미,Canada,캐나다,Arctic Bay
ARC,Arctic Village Airport,아틱빌리지 공항,북미,United States of America,미국,Arctic Village
ADU,Ardabil Airport,아드블 공항,중동,Iran,이란,Ardabil
ADM,Ardmore Industrial Airpark,아드모어 시공항,북미,United States of America,미국,Ardmore
AQP,Arequipa Rodriguez Ballon Airport,로드리게즈 발롱 공항,중남미,Peru,페루,Arequipa
ARI,Arica Chacalluta Airport,챠깔루타 공항,중남미,Chile,칠레,Arica
AIR,Aripuana Airport,아리푸아나 공항,중남미,Brazil,브라질,Aripuana
ARH,Arkhangelsk Talagi Airport,탈라기 공항,유럽,Russian Federation,러시아,Arkhangelsk
RLT,Arlit Airport,알릿 공항,아프리카,Niger,니제르,Arlit
AXM,Armenia El Eden Airport,엘 에덴 공항,중남미,Colombia,콜롬비아,Armenia
ARM,Armidale Airport,아미데일 공항,대양주,Australia,오스트레일리아,Armidale
RNA,Arona Ulawa Airport,울랴야 공항,대양주,Solomon Islands,솔로몬제도,Arona
AIS,Arorae Airport,아로래 아일랜드 공항,대양주,Kiribati,키리바시,Arorae
ACE,Lanzarote Airport,아리시페 공항,유럽,Spain,스페인,Arrecife
ATC,Arthur's Town Airport,아서스 타운 공항,중남미,Bahamas,바하마,Arthur's Town
RUA,Arua Airport,아루아 공항,아프리카,Uganda,우간다,Arua
ARK,Arusha Airport,아루샤 공항,아프리카,Tanzania,탄자니아,Arusha
AXR,Arutua Airport,아루투아 공항,대양주,French Polynesia,프랑스령폴리네시아,Arutua
YEK,Arviat Airport,아르비앗 공항,북미,Canada,캐나다,Arviat
AJR,Arvidsjaur Airport,아르비스야우르 공항,유럽,Sweden,스웨덴,Arvidsjaur
YIE,Arxan Yi'ershi Airport,아르산이얼시공항,아시아,China,중국,Arxan
ABB,Asaba International Airport,아사바 국제공항,아프리카,Nigeria,나이지리아,Asaba
AKJ,Asahikawa Airport,아사히카와 공항,아시아,Japan,일본,Asahikawa
PGU,Asaloyeh Persian Gulf Airport,페르시아만 공항,중동,Iran,이란,Asalooye
ARX,Aracati Dragao do Mar Airport,아라카티 드라가오 도 마르 공항,중남미,Brazil,브라질,Asbury Park
ASB,Ashgabat International Airport,아쉬카밧 공항,아시아,Turkmenistan,투르크메니스탄,Ashgabat ( Ashkhabad )
ASM,Asmara International Airport,아스마라 국제공항,아프리카,Eritrea,에리트레아,Asmara
EWE,Ewer Airport,우어 공항,아시아,Indonesia,인도네시아,Asmat
ASO,Asosa Airport,아소사 공항,아프리카,Ethiopia,이디오피아,Asosa
ASE,Aspen/Pitkin County Airport,아스펜 핏킨 공항,북미,United States of America,미국,Aspen
ASA,Assab International Airport,아사브 국제공항,아프리카,Eritrea,에리트레아,Assab
ATZ,Asyut Airport,앗슈이 공항,아프리카,Egypt,이집트,Assiut
AST,Astoria Regional Airport,아스토리아 공항,북미,United States of America,미국,Astoria
ASF,Astrakhan Narimanovo Airport,아스트라한 공항,유럽,Russian Federation,러시아,Astrakhan
OVD,Asturias Airport,아스투리아스 공항,유럽,Spain,스페인,Asturias
JTY,Astypalaia Island Airport,아스챠이팔리야 아일랜드 내셔널 공항,유럽,Greece,그리스,Astypalaia
ASU,Asuncion Silvio Pettirossi International Airport,실비오 페트로씨 공항,중남미,Paraguay,파라과이,Asuncion
ASW,Aswan Daraw Airport,아스완국제공항,아프리카,Egypt,이집트,Aswan
ABU,Atambua Haliwen Airport,할리웬 공항,아시아,Indonesia,인도네시아,Atambua
AXK,Ataq Airport,아탁 공항,중동,Yemen,예멘,Ataq
AHN,Athens Ben Epps Airport,아테네 벤 에프스 공항,북미,United States of America,미국,Athens
ATH,Athens International Airport,엘레프테리오스 베니젤로스 국제공항,유럽,Greece,그리스,Athens / Sparta
AIU,Atiu Island Airport,에누아 공항,대양주,Cook Islands,쿡 군도,Atiu
AKB,Atka Airport,아카 공항,북미,United States of America,미국,Atka
ATL,Atlanta Hartsfield-Jackson International Airport,하츠필드 잭슨 애틀랜타 국제공항,북미,United States of America,미국,Atlanta
FTY,Atlanta Fulton County Airport,풀톤 카운티 공항 ,북미,United States of America,미국,Atlanta
PDK,Atlanta DeKalb Peachtree Airport,애틀랜타 디칼브 피치트리 공항,북미,United States of America,미국,Atlanta
ACY,Atlantic City International Airport,애틀랜틱시티 국제공항,북미,United States of America,미국,Atlantic City
ATT,Atmautluak Airport,아트마우트락 공항,북미,United States of America,미국,Atmautluak
ATD,Atoifi Airport,우루 하버 공항,대양주,Solomon Islands,솔로몬제도,Atoifi
ATK,Atqasuk Airport,앳가숙 공항,북미,United States of America,미국,Atqasuk
YAT,Attawapiskat Airport,아타와피스카트 공항,북미,Canada,캐나다,Attawapiskat
AOU,Attapeu International Airport,아토푸 공항,아시아,Laos,라오스,Attopeu
GUW,Atyrau Airport,아티라우 공항,아시아,Kazakhstan,카자흐스탄,Atyrau
AUO,Auburn University Regional Airport,오번 오플라이카 로버트 G. 피츠 공항,북미,United States of America,미국,Auburn
AKL,Auckland International Airport,오클랜드 국제공항,대양주,New Zealand,뉴질랜드,Auckland
AUG,Augusta State Airport,오거스타 스테이트 공항,북미,United States of America,미국,Augusta
AGS,Augusta Regional Airport,오거스타 지역공항,북미,United States of America,미국,"Augusta , Richmond County"
AKS,Auki Gwaunaru'u Airport,과우나루우 공항,대양주,Solomon Islands,솔로몬제도,Auki
YPJ,Aupaluk Airport,오팔룩 공항,북미,Canada,캐나다,Aupaluk
AUL,Aur Island Airport,아우르 섬 공항,대양주,Marshall Islands,마셜제도,Aur Atoll
IXU,Aurangabad Chikkalthana Airport,티칼타나 공항,아시아,India,인도,Aurangabad
AUR,Aurillac Airport,오리락 공항,유럽,France,프랑스,Aurillac
AUU,Aurukun Mission Airport,아우루쿤 공항,대양주,Australia,오스트레일리아,Aurukun
AUS,Austin-Bergstrom International Airport,오스틴 벅스트롬 국제공항,북미,United States of America,미국,Austin
AVV,Melbourne Avalon Airport,아발론 공항,대양주,Australia,오스트레일리아,Avalon
AVN,Avignon Caumont Airport,아비뇽 코움 공항,유럽,France,프랑스,Avignon
AVP,Wilkes-Barre/Scranton International Airport,윌크스배러 스크랜튼 국제공항,북미,United States of America,미국,Avoca
AWA,Awasa Airport,아와싸 공항,아프리카,Ethiopia,이디오피아,Awasa
AXU,Axum Airport,악썸 공항,아프리카,Ethiopia,이디오피아,Axum
AYP,Ayacucho Alfredo Mendivil Duarte Airport,야나밀라 공항,중남미,Peru,페루,Ayacucho
CII,Aydin Cildir Airport,아이딘 공항,유럽,Turkey,터키,Aydin
AYQ,Ayers Rock Connellan Airport,코넬런 공항,대양주,Australia,오스트레일리아,Ayers Rock
BFJ,Bijie Feixiong Airport,바 공항,아시아,China,중국,Ba
BXB,Irarutu Babo Airport,바보 공항,아시아,Indonesia,인도네시아,Babo
BCM,Bacau George Enescu International Airport,바커우 국제공항,유럽,Romania,루마니아,Bacau
BCO,Jinka Baco Airport,진카바코 공항,아프리카,Ethiopia,이디오피아,Baco
BCD,Bacolod-Silay International Airport,바콜로드 국내공항,아시아,Philippines,필리핀,Bacolod
BJZ,Badajoz Airport,바다호스 공항,유럽,Spain,스페인,Badajoz
RHT,Alxa Right Banner Airport,Alxa Right Banner 공항,아시아,China,중국,Badanjilin
BFX,Bafoussam Airport,바푸삼 공항,아프리카,Cameroon,카메룬,Bafoussam
BGN,Belaya Gora Airport,벨라야 고라 공항,유럽,Russian Federation,러시아,Bagabag
IXB,Bagdogra Airport,바그도그라 공항,아시아,India,인도,Bagdogra / Siliguri
BGX,Bage Airport,코만단테 구스타보 크라이머 공항,중남미,Brazil,브라질,Bage
BGW,Baghdad International Airport,바그다드 국제공항 ,중동,Iraq,이라크,Baghdad
BGL,Baglung Balewa Airport,바그렁 공항,아시아,Nepal,네팔,Baglung
YBG,Saguenay-Bagotville Airport,바곳빌 공항,북미,Canada,캐나다,Bagotville
OAI,Bagram Air Field,바그람 에어베이스,중동,Afghanistan,아프카니스탄,Bagram
